TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,Debit,ATM,70.0,Doctor,81.0,1.0,5112.21,0
376.24,Debit,ATM,68.0,Doctor,141.0,1.0,13758.91,0
126.29,Debit,Online,19.0,Student,56.0,1.0,1122.35,3
184.5,Debit,Online,26.0,Student,25.0,1.0,8569.06,3
92.15,Debit,ATM,18.0,Student,172.0,1.0,781.68,0
7.08,Credit,ATM,37.0,Doctor,139.0,1.0,13316.71,0
171.42,Credit,Branch,67.0,Retired,291.0,1.0,2796.24,1
106.23,Credit,Branch,51.0,Engineer,86.0,1.0,9095.14,1
815.96,Debit,ATM,55.0,Doctor,120.0,1.0,1021.88,0
17.78,Credit,Online,52.0,Engineer,59.0,1.0,7599.52,3
190.02,Debit,Online,21.0,Student,173.0,1.0,1528.81,3
494.52,Credit,Branch,24.0,Student,111.0,1.0,1620.02,1
781.76,Debit,ATM,26.0,Student,123.0,1.0,189.69,0
166.99,Debit,Online,18.0,Student,134.0,1.0,299.93,3
465.45,Debit,ATM,36.0,Engineer,129.0,1.0,3465.54,0
555.8,Credit,Branch,19.0,Student,158.0,1.0,1131.26,1
492.93,Debit,Online,39.0,Engineer,234.0,1.0,5109.97,3
18.68,Credit,Branch,59.0,Retired,106.0,1.0,7948.37,1
71.48,Credit,Online,18.0,Student,169.0,1.0,6568.59,3
59.32,Debit,Branch,71.0,Retired,38.0,1.0,5750.89,1
85.77,Debit,Branch,38.0,Doctor,93.0,1.0,9146.19,1
52.2,Debit,Online,39.0,Engineer,120.0,1.0,8974.93,3
345.84,Debit,Online,22.0,Student,142.0,3.0,1402.5,2
145.54,Debit,Online,21.0,Student,96.0,1.0,1930.96,3
7.49,Credit,Online,65.0,Retired,276.0,1.0,3634.67,3
246.93,Debit,ATM,23.0,Student,158.0,5.0,673.35,2
40.32,Debit,Branch,37.0,Engineer,95.0,1.0,2686.52,1
127.45,Debit,Online,44.0,Doctor,197.0,1.0,1772.06,3
56.17,Debit,Branch,27.0,Student,283.0,1.0,1351.69,1
28.31,Credit,Online,59.0,Doctor,20.0,1.0,8334.47,3
59.12,Debit,ATM,29.0,Doctor,257.0,1.0,9823.64,0
396.45,Debit,ATM,49.0,Engineer,168.0,3.0,9690.15,2
877.81,Debit,Online,22.0,Student,150.0,1.0,399.0,3
255.26,Credit,Branch,45.0,Doctor,50.0,1.0,14815.87,1
124.76,Debit,Branch,49.0,Engineer,45.0,1.0,5764.72,1
78.13,Debit,Branch,26.0,Student,145.0,1.0,900.61,1
795.31,Debit,ATM,66.0,Doctor,90.0,2.0,7914.88,0
335.63,Debit,Online,55.0,Retired,216.0,1.0,1019.39,3
328.47,Debit,ATM,63.0,Retired,119.0,1.0,4323.66,0
34.02,Debit,Online,38.0,Doctor,19.0,1.0,14214.48,3
241.42,Credit,Online,57.0,Doctor,116.0,1.0,13357.02,3
